,champion,patch,games,dmgtaken/min,dmgdealt/min,Class,color,season,patchnum,internal
0,Aatrox,8.01,28778,2223.935184,608.1222408,Fighter,#664A40,8,1,1
1,Ahri,8.01,118101,965.9694058,683.4599062,Mage,#25BAA4,8,1,1
2,Akali,8.01,113242,1764.692074,621.9110209,Assassin,#ED2941,8,1,1
3,Alistar,8.01,149757,2329.404141,282.7683028,Tank,#393663,8,1,1
4,Amumu,8.01,58914,2240.443965,462.4395348,Tank,#393663,8,1,1
5,Anivia,8.01,63984,1619.673475,669.6256507,Mage,#25BAA4,8,1,1
6,Annie,8.01,87673,859.3609281,663.6470074,Mage,#25BAA4,8,1,1
7,Ashe,8.01,102020,941.1330977,606.7631285,Marksman,#0D1F22,8,1,1
8,Aurelion Sol,8.01,17319,1181.001141,691.4175416,Mage,#25BAA4,8,1,1
9,Azir,8.01,72499,972.2941686,713.7029457,Specialist,#EB8596,8,1,1
10,Bard,8.01,67462,1158.798969,452.8749793,Support,#FFB733,8,1,1
11,Blitzcrank,8.01,157747,1716.358465,322.8771238,Support,#FFB733,8,1,1
12,Brand,8.01,161529,898.3063455,808.047854,Mage,#25BAA4,8,1,1
13,Braum,8.01,116592,1791.112232,237.2876608,Tank,#393663,8,1,1
14,Caitlyn,8.01,125995,970.353132,642.3799335,Marksman,#0D1F22,8,1,1
15,Camille,8.01,64600,1681.346083,579.8293869,Fighter,#664A40,8,1,1
16,Cassiopeia,8.01,25145,1197.046178,666.2088246,Mage,#25BAA4,8,1,1
17,Cho'Gath,8.01,82796,2473.454455,548.6046138,Specialist,#EB8596,8,1,1
18,Corki,8.01,25717,1116.123714,743.169816,Marksman,#0D1F22,8,1,1
19,Darius,8.01,110267,2123.471938,564.8424025,Fighter,#664A40,8,1,1
20,Diana,8.01,74332,1531.612449,657.8575871,Fighter,#664A40,8,1,1
21,Dr. Mundo,8.01,42827,2791.722895,619.4226806,Fighter,#664A40,8,1,1
22,Draven,8.01,177178,1158.973378,688.4650249,Marksman,#0D1F22,8,1,1
23,Ekko,8.01,125432,1597.620835,642.6356724,Assassin,#ED2941,8,1,1
24,Elise,8.01,25975,1413.04768,521.5968313,Fighter,#664A40,8,1,1
25,Evelynn,8.01,109898,1489.72155,616.2632119,Assassin,#ED2941,8,1,1
26,Ezreal,8.01,310254,989.054519,799.7600904,Marksman,#0D1F22,8,1,1
