,Class,champion,color,dmgdealt/min,dmgtaken/min,games,internal,patch,patchnum,season
0,Fighter,Aatrox,#664A40,608.1222408393241,2223.9351843151294,28778.0,1.0,8.01,1.0,8.0
1,Mage,Ahri,#25BAA4,683.4599062487713,965.9694058136838,118101.0,1.0,8.01,1.0,8.0
2,Assassin,Akali,#ED2941,621.9110209460034,1764.6920738437773,113242.0,1.0,8.01,1.0,8.0
3,Tank,Alistar,#393663,282.7683027663905,2329.404140577437,149757.0,1.0,8.01,1.0,8.0
4,Tank,Amumu,#393663,462.4395347879048,2240.4439651405382,58914.0,1.0,8.01,1.0,8.0
5,Mage,Anivia,#25BAA4,669.6256507342325,1619.6734750561,63984.0,1.0,8.01,1.0,8.0
6,Mage,Annie,#25BAA4,663.6470073595926,859.3609281047077,87673.0,1.0,8.01,1.0,8.0
7,Marksman,Ashe,#0D1F22,606.7631285334403,941.1330976879312,102020.0,1.0,8.01,1.0,8.0
8,Mage,Aurelion Sol,#25BAA4,691.4175416376529,1181.0011413369243,17319.0,1.0,8.01,1.0,8.0
9,Specialist,Azir,#EB8596,713.7029456744525,972.2941686364302,72499.0,1.0,8.01,1.0,8.0
10,Support,Bard,#FFB733,452.87497934343503,1158.7989691591144,67462.0,1.0,8.01,1.0,8.0
11,Support,Blitzcrank,#FFB733,322.87712376901106,1716.3584648101316,157747.0,1.0,8.01,1.0,8.0
12,Mage,Brand,#25BAA4,808.0478540316465,898.306345477443,161529.0,1.0,8.01,1.0,8.0
13,Tank,Braum,#393663,237.28766082976531,1791.1122316586532,116592.0,1.0,8.01,1.0,8.0
14,Marksman,Caitlyn,#0D1F22,642.3799334886211,970.3531319747652,125995.0,1.0,8.01,1.0,8.0
15,Fighter,Camille,#664A40,579.8293869229767,1681.3460829860232,64600.0,1.0,8.01,1.0,8.0
16,Mage,Cassiopeia,#25BAA4,666.2088246421292,1197.0461780350843,25145.0,1.0,8.01,1.0,8.0
17,Specialist,Cho'Gath,#EB8596,548.6046138210686,2473.4544549006705,82796.0,1.0,8.01,1.0,8.0
18,Marksman,Corki,#0D1F22,743.1698159733563,1116.1237138481192,25717.0,1.0,8.01,1.0,8.0
19,Fighter,Darius,#664A40,564.8424024927644,2123.4719380044335,110267.0,1.0,8.01,1.0,8.0
20,Fighter,Diana,#664A40,657.857587068255,1531.612448806824,74332.0,1.0,8.01,1.0,8.0
21,Fighter,Dr. Mundo,#664A40,619.4226805848992,2791.722895101534,42827.0,1.0,8.01,1.0,8.0
22,Marksman,Draven,#0D1F22,688.4650248981684,1158.973378059201,177178.0,1.0,8.01,1.0,8.0
23,Assassin,Ekko,#ED2941,642.6356724166236,1597.6208345493517,125432.0,1.0,8.01,1.0,8.0
24,Fighter,Elise,#664A40,521.596831311108,1413.047679613573,25975.0,1.0,8.01,1.0,8.0
25,Assassin,Evelynn,#ED2941,616.2632118565491,1489.7215501506391,109898.0,1.0,8.01,1.0,8.0
26,Marksman,Ezreal,#0D1F22,799.7600903521416,989.0545190273338,310254.0,1.0,8.01,1.0,8.0
27,Specialist,Fiddlesticks,#EB8596,605.4128777993307,1290.8110334528592,39548.0,1.0,8.01,1.0,8.0
28,Assassin,Fiora,#ED2941,612.861478500402,1998.8523241461123,70174.0,1.0,8.01,1.0,8.0
29,Assassin,Fizz,#ED2941,639.7441875686109,1133.4245664401901,108815.0,1.0,8.01,1.0,8.0
30,Tank,Galio,#393663,565.7083714592418,1924.140797299846,52440.0,1.0,8.01,1.0,8.0
31,Specialist,Gangplank,#EB8596,720.2627610278811,1363.5719107183254,139498.0,1.0,8.01,1.0,8.0
32,Fighter,Garen,#664A40,578.987379901483,2284.401389473629,148141.0,1.0,8.01,1.0,8.0
33,Specialist,Gnar,#EB8596,620.8766649949798,1647.5064692923943,83303.0,1.0,8.01,1.0,8.0
34,Tank,Gragas,#393663,457.8579316260527,2195.685063431209,34067.0,1.0,8.01,1.0,8.0
35,Specialist,Graves,#EB8596,601.3139002348814,1537.081067998502,51147.0,1.0,8.01,1.0,8.0
36,Fighter,Hecarim,#664A40,482.9470538601287,2258.4720475170266,42019.0,1.0,8.01,1.0,8.0
37,Specialist,Heimerdinger,#EB8596,810.8738377213174,899.4383648501866,47189.0,1.0,8.01,1.0,8.0
38,Fighter,Illaoi,#664A40,772.4650036516174,2198.4323217690308,120565.0,1.0,8.01,1.0,8.0
39,Fighter,Irelia,#664A40,574.0957785277733,1892.6009707471442,49171.0,1.0,8.01,1.0,8.0
40,Support,Ivern,#FFB733,290.0611332846542,1237.9287428363978,13981.0,1.0,8.01,1.0,8.0
41,Support,Janna,#FFB733,253.28637207161856,986.1583935139662,190560.0,1.0,8.01,1.0,8.0
42,Fighter,Jarvan IV,#664A40,462.48342081623633,1981.4388222288887,144528.0,1.0,8.01,1.0,8.0
43,Assassin,Jax,#ED2941,515.4871778602243,1731.6590990507261,199010.0,1.0,8.01,1.0,8.0
44,Mage,Jayce,#25BAA4,691.8666549112365,1195.5543167017272,56577.0,1.0,8.01,1.0,8.0
45,Marksman,Jhin,#0D1F22,648.7441740700006,885.8340417710313,172944.0,1.0,8.01,1.0,8.0
46,Marksman,Jinx,#0D1F22,635.488095374132,994.2054493600209,196764.0,1.0,8.01,1.0,8.0
3656,Marksman,Kai'Sa,#0D1F22,641.0380278424751,1216.31357907828,0.0,1.0,8.01,1.0,8.0
47,Marksman,Kalista,#0D1F22,613.6020833995046,1159.6794957019097,52898.0,1.0,8.01,1.0,8.0
48,Support,Karma,#FFB733,455.8020422622305,960.0847397671992,73838.0,1.0,8.01,1.0,8.0
