,matchid,accountid,win,kills,deaths,assists,totalminionskilled,wardsplaced,totaldamagedealt,magicdamagedealt,physicaldamagedealt,truedamagedealt,damageselfmitigated,damagedealttoobjectives,damagedealttoturrets,totaldamagedealttochampions,magicdamagedealttochampions,physicaldamagedealttochampions,truedamagedealttochampions,totaldamagetaken,physicaldamagetaken,truedamagetaken,totalheal,t2.gameDuration/60,matchRankScore,champName
0,2695191094,33718369,0,8,12,3,150,6,103752,5977,91456,6318,16822,4304,915,20630,3576,15698,1356,27301,14813,613,423,34.3667,,Pantheon
1,2695191094,35058930,1,9,5,14,277,13,191708,160815,15387,15505,18383,3518,3518,25065,21969,1694,1401,29940,15953,1388,11089,34.3667,,Swain
2,2695191094,36077516,0,1,5,15,20,31,18853,13458,5394,0,15100,567,224,10755,9471,1283,0,19125,13609,261,11679,34.3667,,Nami
3,2695191094,44595972,1,11,2,9,270,11,185932,24554,156804,4573,10499,17705,8024,21682,7819,13650,213,15441,9781,288,2026,34.3667,,Ezreal
4,2695191094,47841972,0,3,6,7,234,22,163090,137458,23271,2360,16306,3067,1465,26481,24693,1043,744,19088,12277,351,3040,34.3667,,Lux
5,2695191094,50674029,0,7,4,7,281,10,194731,8642,184533,1555,9379,3812,1960,26853,2623,23569,660,17859,12247,0,2240,34.3667,,Jhin
6,2695191094,51296323,1,11,6,18,195,8,161823,12149,146499,3174,43002,10586,7506,27936,3319,24448,168,40461,29024,1311,4882,34.3667,,Gnar
7,2695191094,213599744,1,3,5,19,42,27,26198,13070,7630,5496,43634,1861,787,6943,5762,1181,0,24072,14129,698,10221,34.3667,,Alistar
8,2695191094,231069849,1,4,5,7,45,34,199608,8331,173734,17543,11114,18365,2953,13643,526,12692,424,23775,16621,425,7894,34.3667,,Graves
9,2695191094,236804782,0,4,11,8,25,14,163380,7236,148165,7978,33206,4982,0,16845,623,14870,1352,33067,19588,981,7694,34.3667,,Vi
10,2695191095,32340127,1,5,4,4,44,10,147204,3589,127626,15988,31509,25926,5407,8582,84,7062,1435,29177,21926,674,10753,29.7833,,Udyr
11,2695191095,32879042,1,3,2,9,221,9,151616,20161,128671,2784,21378,16525,8127,16991,7117,9873,0,21873,12409,400,5670,29.7833,,Yorick
12,2695191095,36685668,1,10,5,8,174,10,116377,68718,11802,35856,10454,3470,3470,23520,17926,1362,4231,19307,11404,760,5161,29.7833,,Ahri
